Date,ppt (inches),tmean (degrees F),Average
9/30/2016,0.06,51.5,0.441915888
10/1/2016,0.22,50,0.441915888
10/2/2016,1.06,56.1,0.441915888
10/3/2016,0.11,51.4,0.441915888
10/4/2016,0.27,50.5,0.441915888
10/5/2016,0.58,56.5,0.441915888
10/6/2016,0.14,56.1,0.441915888
10/7/2016,0.4,54.8,0.441915888
10/8/2016,0.13,58.2,0.441915888
10/9/2016,0.05,61.3,0.441915888
10/10/2016,0.1,60.7,0.441915888
10/11/2016,0.05,52.3,0.441915888
10/12/2016,0.02,53,0.441915888
10/13/2016,1.23,54.7,0.441915888
10/14/2016,2.97,55.2,0.441915888
10/15/2016,0.81,57.5,0.441915888
10/16/2016,0.71,56.2,0.441915888
10/17/2016,0.74,52.9,0.441915888
10/18/2016,0.62,55,0.441915888
10/19/2016,0.07,53.2,0.441915888
10/20/2016,0.36,52.8,0.441915888
10/21/2016,0.88,57.7,0.441915888
10/22/2016,0.98,54.8,0.441915888
10/23/2016,0.07,53.1,0.441915888
10/24/2016,0.4,55,0.441915888
10/25/2016,0.4,52.2,0.441915888
10/26/2016,0.9,55,0.441915888
10/27/2016,1.1,56.5,0.441915888
10/28/2016,0.22,52.8,0.441915888
10/29/2016,0.07,55.3,0.441915888
10/30/2016,0.22,55,0.441915888
10/31/2016,0.63,52.9,0.441915888
11/1/2016,0.1,53.7,0.441915888
11/2/2016,0.04,53.5,0.441915888
11/3/2016,0.09,56.4,0.441915888
11/4/2016,0,54.6,0.441915888
11/5/2016,0.65,52.9,0.441915888
11/6/2016,1.15,53.3,0.441915888
11/7/2016,0.01,54.7,0.441915888
11/8/2016,0,55.8,0.441915888
11/9/2016,0.15,58.3,0.441915888
11/10/2016,0.01,57.3,0.441915888
11/11/2016,0.05,54.7,0.441915888
11/12/2016,0.25,55.8,0.441915888
11/13/2016,0.15,53.3,0.441915888
11/14/2016,0.53,53.9,0.441915888
11/15/2016,0.64,54.8,0.441915888
11/16/2016,0.38,49.1,0.441915888
11/17/2016,0.3,44.6,0.441915888
11/18/2016,0.06,46.1,0.441915888
11/19/2016,0.33,46,0.441915888
11/20/2016,1.15,53.1,0.441915888
11/21/2016,0.88,50.8,0.441915888
11/22/2016,0.32,48.4,0.441915888
11/23/2016,1.11,47.7,0.441915888
11/24/2016,1.26,46.4,0.441915888
11/25/2016,3,48.8,0.441915888
