# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-05-15 15:09:29 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14307620 SIUSLAW RIVER NEAR MAPLETON, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14307620
#            TS   parameter     statistic     Description
#        114543       00060     00003     Discharge, cubic feet per second (Mean)
#        114544       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#        114545       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#        114546       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	114543_00060_00003	114543_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14307620	2017-01-01	2400	A
USGS	14307620	2017-01-02	2370	A
USGS	14307620	2017-01-03	2250	A
USGS	14307620	2017-01-04	2110	A
USGS	14307620	2017-01-05	1940	A
USGS	14307620	2017-01-06	1800	A
USGS	14307620	2017-01-07	1770	A
USGS	14307620	2017-01-08	2150	A
USGS	14307620	2017-01-09	5060	A
USGS	14307620	2017-01-10	8180	A
USGS	14307620	2017-01-11	11100	A
USGS	14307620	2017-01-12	8050	A
USGS	14307620	2017-01-13	5440	A
USGS	14307620	2017-01-14	4090	A
USGS	14307620	2017-01-15	3350	A
USGS	14307620	2017-01-16	2890	A
USGS	14307620	2017-01-17	2620	A
USGS	14307620	2017-01-18	8550	A
USGS	14307620	2017-01-19	12000	A
USGS	14307620	2017-01-20	8490	A
USGS	14307620	2017-01-21	6520	A
USGS	14307620	2017-01-22	6140	A
USGS	14307620	2017-01-23	5500	A
USGS	14307620	2017-01-24	4410	A
USGS	14307620	2017-01-25	3590	A
USGS	14307620	2017-01-26	3070	A
USGS	14307620	2017-01-27	2680	A
USGS	14307620	2017-01-28	2400	A
USGS	14307620	2017-01-29	2190	A
USGS	14307620	2017-01-30	2030	A
USGS	14307620	2017-01-31	1900	A
USGS	14307620	2017-02-01	1790	A
USGS	14307620	2017-02-02	1690	A
USGS	14307620	2017-02-03	1770	A
USGS	14307620	2017-02-04	3780	A
USGS	14307620	2017-02-05	15000	A
USGS	14307620	2017-02-06	14900	A
USGS	14307620	2017-02-07	10700	A
USGS	14307620	2017-02-08	9320	A
USGS	14307620	2017-02-09	19200	A
USGS	14307620	2017-02-10	16200	A
USGS	14307620	2017-02-11	10400	A
USGS	14307620	2017-02-12	7110	A
USGS	14307620	2017-02-13	5310	A
USGS	14307620	2017-02-14	4240	A
USGS	14307620	2017-02-15	3850	A
USGS	14307620	2017-02-16	13000	A
USGS	14307620	2017-02-17	13100	A
USGS	14307620	2017-02-18	8580	A
USGS	14307620	2017-02-19	6470	A
USGS	14307620	2017-02-20	7170	A
USGS	14307620	2017-02-21	9300	A
USGS	14307620	2017-02-22	10800	A
USGS	14307620	2017-02-23	8000	A
USGS	14307620	2017-02-24	5910	A
USGS	14307620	2017-02-25	4870	A
USGS	14307620	2017-02-26	4460	A
USGS	14307620	2017-02-27	4820	A
USGS	14307620	2017-02-28	5630	A
USGS	14307620	2017-03-01	5280	A
USGS	14307620	2017-03-02	4420	A
USGS	14307620	2017-03-03	3880	A
USGS	14307620	2017-03-04	4280	A
USGS	14307620	2017-03-05	5170	A
USGS	14307620	2017-03-06	6080	A
USGS	14307620	2017-03-07	10100	A
USGS	14307620	2017-03-08	15400	A
USGS	14307620	2017-03-09	14500	A
USGS	14307620	2017-03-10	13800	A
USGS	14307620	2017-03-11	9740	A
USGS	14307620	2017-03-12	7060	A
USGS	14307620	2017-03-13	5490	A
USGS	14307620	2017-03-14	4860	A
USGS	14307620	2017-03-15	6070	A
USGS	14307620	2017-03-16	6660	A
USGS	14307620	2017-03-17	5240	A
USGS	14307620	2017-03-18	5190	A
USGS	14307620	2017-03-19	5010	A
USGS	14307620	2017-03-20	4350	A
USGS	14307620	2017-03-21	4020	A
USGS	14307620	2017-03-22	3930	A
USGS	14307620	2017-03-23	3680	A
USGS	14307620	2017-03-24	6830	A
USGS	14307620	2017-03-25	8380	A
USGS	14307620	2017-03-26	6770	A
USGS	14307620	2017-03-27	7230	A
USGS	14307620	2017-03-28	6540	A
USGS	14307620	2017-03-29	5960	A
USGS	14307620	2017-03-30	5970	A
USGS	14307620	2017-03-31	4880	A
USGS	14307620	2017-04-01	4030	A
USGS	14307620	2017-04-02	3430	A
USGS	14307620	2017-04-03	3000	A
USGS	14307620	2017-04-04	2690	A
USGS	14307620	2017-04-05	2440	A
USGS	14307620	2017-04-06	2290	A
USGS	14307620	2017-04-07	2540	A
USGS	14307620	2017-04-08	3080	A
USGS	14307620	2017-04-09	2870	A
USGS	14307620	2017-04-10	2770	A
USGS	14307620	2017-04-11	2640	A
USGS	14307620	2017-04-12	2950	A
USGS	14307620	2017-04-13	3270	A
USGS	14307620	2017-04-14	3470	A
USGS	14307620	2017-04-15	3350	A
USGS	14307620	2017-04-16	2920	A
USGS	14307620	2017-04-17	2670	A
USGS	14307620	2017-04-18	3130	A
USGS	14307620	2017-04-19	3230	A
USGS	14307620	2017-04-20	3370	A
USGS	14307620	2017-04-21	3380	A
USGS	14307620	2017-04-22	3080	A
USGS	14307620	2017-04-23	2760	A
USGS	14307620	2017-04-24	3860	A
USGS	14307620	2017-04-25	4580	A
USGS	14307620	2017-04-26	5500	A
USGS	14307620	2017-04-27	5660	A
USGS	14307620	2017-04-28	4660	A
USGS	14307620	2017-04-29	3730	A
USGS	14307620	2017-04-30	3140	A
USGS	14307620	2017-05-01	2720	A
USGS	14307620	2017-05-02	2440	A
USGS	14307620	2017-05-03	2210	A
USGS	14307620	2017-05-04	2020	A
USGS	14307620	2017-05-05	1890	A
USGS	14307620	2017-05-06	1750	A
USGS	14307620	2017-05-07	1620	A
USGS	14307620	2017-05-08	1510	A
USGS	14307620	2017-05-09	1420	A
USGS	14307620	2017-05-10	1350	A
USGS	14307620	2017-05-11	1380	A
USGS	14307620	2017-05-12	1620	A
USGS	14307620	2017-05-13	2240	A
USGS	14307620	2017-05-14	2200	A
USGS	14307620	2017-05-15	1880	A
USGS	14307620	2017-05-16	2260	A
USGS	14307620	2017-05-17	2370	A
USGS	14307620	2017-05-18	2090	A
USGS	14307620	2017-05-19	1820	A
USGS	14307620	2017-05-20	1610	A
USGS	14307620	2017-05-21	1470	A
USGS	14307620	2017-05-22	1350	A
USGS	14307620	2017-05-23	1250	A
USGS	14307620	2017-05-24	1170	A
USGS	14307620	2017-05-25	1110	A
USGS	14307620	2017-05-26	1060	A
USGS	14307620	2017-05-27	1010	A
USGS	14307620	2017-05-28	964	A
USGS	14307620	2017-05-29	930	A
USGS	14307620	2017-05-30	905	A
USGS	14307620	2017-05-31	881	A
USGS	14307620	2017-06-01	864	A
USGS	14307620	2017-06-02	827	A
USGS	14307620	2017-06-03	785	A
USGS	14307620	2017-06-04	758	A
USGS	14307620	2017-06-05	729	A
USGS	14307620	2017-06-06	707	A
USGS	14307620	2017-06-07	684	A
USGS	14307620	2017-06-08	822	A
USGS	14307620	2017-06-09	831	A
USGS	14307620	2017-06-10	971	A
USGS	14307620	2017-06-11	949	A
USGS	14307620	2017-06-12	844	A
USGS	14307620	2017-06-13	782	A
USGS	14307620	2017-06-14	723	A
USGS	14307620	2017-06-15	728	A
USGS	14307620	2017-06-16	945	A
USGS	14307620	2017-06-17	894	A
USGS	14307620	2017-06-18	799	A
USGS	14307620	2017-06-19	723	A
USGS	14307620	2017-06-20	665	A
USGS	14307620	2017-06-21	620	A
USGS	14307620	2017-06-22	584	A
USGS	14307620	2017-06-23	553	A
USGS	14307620	2017-06-24	525	A
USGS	14307620	2017-06-25	501	A
USGS	14307620	2017-06-26	482	A
USGS	14307620	2017-06-27	480	A
USGS	14307620	2017-06-28	470	A
USGS	14307620	2017-06-29	459	A
USGS	14307620	2017-06-30	444	A
USGS	14307620	2017-07-01	433	A
USGS	14307620	2017-07-02	426	A
USGS	14307620	2017-07-03	409	A
USGS	14307620	2017-07-04	396	A
USGS	14307620	2017-07-05	382	A
USGS	14307620	2017-07-06	368	A
USGS	14307620	2017-07-07	356	A
USGS	14307620	2017-07-08	345	A
USGS	14307620	2017-07-09	333	A
USGS	14307620	2017-07-10	323	A
USGS	14307620	2017-07-11	313	A
USGS	14307620	2017-07-12	304	A
USGS	14307620	2017-07-13	297	A
USGS	14307620	2017-07-14	294	A
USGS	14307620	2017-07-15	286	A
USGS	14307620	2017-07-16	277	A
USGS	14307620	2017-07-17	270	A
USGS	14307620	2017-07-18	263	A
USGS	14307620	2017-07-19	257	A
USGS	14307620	2017-07-20	255	A
USGS	14307620	2017-07-21	253	A
USGS	14307620	2017-07-22	247	A
USGS	14307620	2017-07-23	240	A
USGS	14307620	2017-07-24	231	A
USGS	14307620	2017-07-25	224	A
USGS	14307620	2017-07-26	219	A
USGS	14307620	2017-07-27	213	A
USGS	14307620	2017-07-28	209	A
USGS	14307620	2017-07-29	205	A
USGS	14307620	2017-07-30	200	A
USGS	14307620	2017-07-31	196	A
USGS	14307620	2017-08-01	190	A
USGS	14307620	2017-08-02	185	A
USGS	14307620	2017-08-03	180	A
USGS	14307620	2017-08-04	175	A
USGS	14307620	2017-08-05	171	A
USGS	14307620	2017-08-06	169	A
USGS	14307620	2017-08-07	168	A
USGS	14307620	2017-08-08	166	A
USGS	14307620	2017-08-09	163	A
USGS	14307620	2017-08-10	160	A
USGS	14307620	2017-08-11	159	A
USGS	14307620	2017-08-12	159	A
USGS	14307620	2017-08-13	162	A
USGS	14307620	2017-08-14	168	A
USGS	14307620	2017-08-15	166	A
USGS	14307620	2017-08-16	162	A
USGS	14307620	2017-08-17	158	A
USGS	14307620	2017-08-18	153	A
USGS	14307620	2017-08-19	147	A
USGS	14307620	2017-08-20	141	A
USGS	14307620	2017-08-21	137	A
USGS	14307620	2017-08-22	136	A
USGS	14307620	2017-08-23	135	A
USGS	14307620	2017-08-24	132	A
USGS	14307620	2017-08-25	130	A
USGS	14307620	2017-08-26	129	A
USGS	14307620	2017-08-27	127	A
USGS	14307620	2017-08-28	125	A
USGS	14307620	2017-08-29	124	A
USGS	14307620	2017-08-30	123	A
USGS	14307620	2017-08-31	122	A
USGS	14307620	2017-09-01	118	A
USGS	14307620	2017-09-02	115	A
USGS	14307620	2017-09-03	114	A
USGS	14307620	2017-09-04	113	A
USGS	14307620	2017-09-05	112	A
USGS	14307620	2017-09-06	112	A
USGS	14307620	2017-09-07	114	A
USGS	14307620	2017-09-08	115	A
USGS	14307620	2017-09-09	119	A
USGS	14307620	2017-09-10	119	A
USGS	14307620	2017-09-11	114	A
USGS	14307620	2017-09-12	109	A
USGS	14307620	2017-09-13	104	A
USGS	14307620	2017-09-14	99.7	A
USGS	14307620	2017-09-15	97.2	A
USGS	14307620	2017-09-16	95.1	A
USGS	14307620	2017-09-17	100	A
USGS	14307620	2017-09-18	131	A
USGS	14307620	2017-09-19	192	A
USGS	14307620	2017-09-20	304	A
USGS	14307620	2017-09-21	326	A
USGS	14307620	2017-09-22	242	A
USGS	14307620	2017-09-23	197	A
USGS	14307620	2017-09-24	175	A
USGS	14307620	2017-09-25	161	A
USGS	14307620	2017-09-26	150	A
USGS	14307620	2017-09-27	142	A
USGS	14307620	2017-09-28	136	A
USGS	14307620	2017-09-29	135	A
USGS	14307620	2017-09-30	137	A
USGS	14307620	2017-10-01	138	A
USGS	14307620	2017-10-02	138	A
USGS	14307620	2017-10-03	136	A
USGS	14307620	2017-10-04	131	A
USGS	14307620	2017-10-05	125	A
USGS	14307620	2017-10-06	122	A
USGS	14307620	2017-10-07	123	A
USGS	14307620	2017-10-08	124	A
USGS	14307620	2017-10-09	122	A
USGS	14307620	2017-10-10	121	A
USGS	14307620	2017-10-11	137	A
USGS	14307620	2017-10-12	244	A
USGS	14307620	2017-10-13	433	A
USGS	14307620	2017-10-14	439	A
USGS	14307620	2017-10-15	313	A
USGS	14307620	2017-10-16	251	A
USGS	14307620	2017-10-17	216	A
USGS	14307620	2017-10-18	191	A
USGS	14307620	2017-10-19	413	A
USGS	14307620	2017-10-20	1190	A
USGS	14307620	2017-10-21	2350	A
USGS	14307620	2017-10-22	8500	A
USGS	14307620	2017-10-23	3520	A
USGS	14307620	2017-10-24	1830	A
USGS	14307620	2017-10-25	1240	A
USGS	14307620	2017-10-26	941	A
USGS	14307620	2017-10-27	766	A
USGS	14307620	2017-10-28	653	A
USGS	14307620	2017-10-29	574	A
USGS	14307620	2017-10-30	515	A
USGS	14307620	2017-10-31	461	A
USGS	14307620	2017-11-01	430	A
USGS	14307620	2017-11-02	447	A
USGS	14307620	2017-11-03	544	A
USGS	14307620	2017-11-04	508	A
USGS	14307620	2017-11-05	951	A
USGS	14307620	2017-11-06	1250	A
USGS	14307620	2017-11-07	1070	A
USGS	14307620	2017-11-08	989	A
USGS	14307620	2017-11-09	1850	A
USGS	14307620	2017-11-10	3130	A
USGS	14307620	2017-11-11	4320	A
USGS	14307620	2017-11-12	2960	A
USGS	14307620	2017-11-13	2960	A
USGS	14307620	2017-11-14	3060	A
USGS	14307620	2017-11-15	3850	A
USGS	14307620	2017-11-16	7920	A
USGS	14307620	2017-11-17	6660	A
USGS	14307620	2017-11-18	4390	A
USGS	14307620	2017-11-19	3120	A
USGS	14307620	2017-11-20	3590	A
USGS	14307620	2017-11-21	4050	A
USGS	14307620	2017-11-22	3450	A
USGS	14307620	2017-11-23	7460	A
USGS	14307620	2017-11-24	7990	A
USGS	14307620	2017-11-25	5190	A
USGS	14307620	2017-11-26	4000	A
USGS	14307620	2017-11-27	3520	A
USGS	14307620	2017-11-28	3120	A
USGS	14307620	2017-11-29	2920	A
USGS	14307620	2017-11-30	2620	A
USGS	14307620	2017-12-01	2420	A
USGS	14307620	2017-12-02	2380	A
USGS	14307620	2017-12-03	3270	A
USGS	14307620	2017-12-04	3060	A
USGS	14307620	2017-12-05	2600	A
USGS	14307620	2017-12-06	2250	A
USGS	14307620	2017-12-07	1980	A
USGS	14307620	2017-12-08	1760	A
USGS	14307620	2017-12-09	1600	A
USGS	14307620	2017-12-10	1480	A
USGS	14307620	2017-12-11	1370	A
USGS	14307620	2017-12-12	1290	A
USGS	14307620	2017-12-13	1210	A
USGS	14307620	2017-12-14	1150	A
USGS	14307620	2017-12-15	1090	A
USGS	14307620	2017-12-16	1050	A
USGS	14307620	2017-12-17	1000	A
USGS	14307620	2017-12-18	969	A
USGS	14307620	2017-12-19	1150	A
USGS	14307620	2017-12-20	2080	A
USGS	14307620	2017-12-21	2160	A
USGS	14307620	2017-12-22	1900	A
USGS	14307620	2017-12-23	1660	A
USGS	14307620	2017-12-24	1500	A
USGS	14307620	2017-12-25	1510	A
USGS	14307620	2017-12-26	1440	A
USGS	14307620	2017-12-27	1420	A
USGS	14307620	2017-12-28	1410	A
USGS	14307620	2017-12-29	1950	A
USGS	14307620	2017-12-30	4520	A
USGS	14307620	2017-12-31	3430	A
